environment,source,interaction_total
QDHS3,o3,26.0
VA6FQ,claude-4-sonnet,96.0
VA6FQ,gemini-2.5-pro,50.0
VA6FQ,human,1023.0
VA6FQ,o3,79.0
7VKTD,claude-4-sonnet,233.0
7VKTD,gemini-2.5-pro,146.0
7VKTD,human,397.0
7VKTD,o3,39.0
set,claude-4-sonnet,32.0
set,gemini-2.5-pro,30.0
set,human,1773.0
set,o3,35.0
XHGKQ,claude-4-sonnet,42.0
XHGKQ,gemini-2.5-pro,81.0
XHGKQ,human,595.0
XHGKQ,o3,73.0
F5W3N,claude-4-sonnet,70.0
F5W3N,gemini-2.5-pro,233.0
F5W3N,human,678.0
F5W3N,o3,20.0
JXQAW,claude-4-sonnet,92.0
JXQAW,gemini-2.5-pro,177.0
JXQAW,human,696.0
JXQAW,o3,133.0
4N7BB,claude-4-sonnet,43.0
4N7BB,gemini-2.5-pro,53.0
4N7BB,human,509.0
4N7BB,o3,38.0
NTQ4Y,claude-4-sonnet,57.0
NTQ4Y,gemini-2.5-pro,49.0
NTQ4Y,human,949.0
NTQ4Y,o3,47.0
DGG2C,claude-4-sonnet,72.0
DGG2C,gemini-2.5-pro,43.0
DGG2C,human,879.0
DGG2C,o3,41.0
