environment,source,mean,std,count,sem
VQJH6,gemini-2.5-pro,0.0,0.0,3,0.0
VQJH6,human,1.0,0.0,9,0.0
VQJH6,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
VQJH6,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
QQM74,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
QQM74,gemini-2.5-flash,0.0,0.0,3,0.0
QQM74,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
QQM74,human,0.8885639922036059,0.33321290035125495,9,0.11107096678375165
QQM74,o3,0.6643788691737006,0.5753792122526444,3,0.3321953430801791
QQM74,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
7XF97,claude-4-sonnet,0.0,0.0,3,0.0
7XF97,gemini-2.5-flash,0.0,0.0,3,0.0
7XF97,gemini-2.5-pro,0.0,0.0,3,0.0
7XF97,human,0.7705809230218211,0.4373924662495585,9,0.14579748874985285
7XF97,o3,0.0,0.0,3,0.0
7XF97,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
BT3GB,claude-4-sonnet,0.0,0.0,3,0.0
BT3GB,gemini-2.5-flash,0.328242256699024,0.5685322657937752,3,0.328242256699024
BT3GB,gemini-2.5-pro,0.0,0.0,3,0.0
BT3GB,human,1.0,0.0,9,0.0
BT3GB,o3,0.0,0.0,3,0.0
BT3GB,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
BT2KZ,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
BT2KZ,gemini-2.5-flash,0.0,0.0,3,0.0
BT2KZ,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
BT2KZ,human,0.8888888888888888,0.3333333333333333,9,0.1111111111111111
BT2KZ,o3,0.5423563175947946,0.5053535128210482,3,0.29176598666315523
BT2KZ,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
B8AKZ,claude-4-sonnet,0.0,0.0,3,0.0
B8AKZ,gemini-2.5-flash,0.33310401842170695,0.5769530841117556,3,0.3331040184217069
B8AKZ,gemini-2.5-pro,0.0,0.0,3,0.0
B8AKZ,human,1.0,0.0,9,0.0
B8AKZ,o3,0.3332151843835839,0.5771456292057988,3,0.3332151843835839
B8AKZ,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
9F8AJ,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
9F8AJ,gemini-2.5-flash,0.0,0.0,3,0.0
9F8AJ,gemini-2.5-pro,0.0,0.0,3,0.0
9F8AJ,human,1.0,0.0,9,0.0
9F8AJ,o3,0.0,0.0,3,0.0
9F8AJ,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
4CKC2,claude-4-sonnet,1.0,0.0,3,0.0
4CKC2,gemini-2.5-flash,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
4CKC2,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
4CKC2,human,0.8888888888888888,0.3333333333333333,9,0.1111111111111111
4CKC2,o3,0.0,0.0,3,0.0
4CKC2,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
7WWW9,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
7WWW9,gemini-2.5-flash,0.9987416603392204,0.0021795082256492447,3,0.0012583396607795951
7WWW9,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
7WWW9,human,1.0,0.0,9,0.0
7WWW9,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
7WWW9,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
N2NTD,claude-4-sonnet,0.0,0.0,3,0.0
N2NTD,gemini-2.5-flash,0.0,0.0,3,0.0
N2NTD,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
N2NTD,human,0.9998717733669655,0.00026041645672788725,9,8.680548557596242e-05
N2NTD,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
N2NTD,qwen3-235b-a22b-thinking-2507,0.0,0.0,2,0.0
BY2Q7,claude-4-sonnet,0.0,0.0,3,0.0
BY2Q7,gemini-2.5-flash,0.0,0.0,3,0.0
BY2Q7,gemini-2.5-pro,0.0,0.0,3,0.0
BY2Q7,human,0.840373966112367,0.32992229880389073,9,0.1099740996012969
BY2Q7,o3,0.0,0.0,3,0.0
BY2Q7,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
4T8TR,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
4T8TR,gemini-2.5-flash,0.6594636590368107,0.5712144743091029,3,0.3297908305073711
4T8TR,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
4T8TR,human,1.0,0.0,9,0.0
4T8TR,o3,0.2972427218571802,0.5148394964367001,3,0.2972427218571802
4T8TR,qwen3-235b-a22b-thinking-2507,0.4802611487827775,0.5011675036772905,3,0.28934919315717644
YS322,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
YS322,gemini-2.5-flash,0.0,0.0,3,0.0
YS322,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
YS322,human,1.0,0.0,9,0.0
YS322,o3,0.0,0.0,3,0.0
YS322,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
WHGHP,claude-4-sonnet,0.0,0.0,3,0.0
WHGHP,gemini-2.5-flash,0.0,0.0,3,0.0
WHGHP,gemini-2.5-pro,0.0,0.0,3,0.0
WHGHP,human,0.9904970650710518,0.02242403197160623,9,0.007474677323868743
WHGHP,o3,0.0,0.0,3,0.0
WHGHP,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
EAHCW,claude-4-sonnet,0.0,0.0,3,0.0
EAHCW,gemini-2.5-flash,0.0,0.0,3,0.0
EAHCW,gemini-2.5-pro,0.0,0.0,3,0.0
EAHCW,human,0.8888888888888888,0.3333333333333333,9,0.1111111111111111
EAHCW,o3,0.44535493843667334,0.50887940443663,3,0.2938016611365448
EAHCW,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
83WKQ,claude-4-sonnet,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
83WKQ,gemini-2.5-flash,0.2972427218571802,0.5148394964367001,3,0.2972427218571802
83WKQ,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
83WKQ,human,0.9983612856467059,0.0036189496297494533,9,0.0012063165432498178
83WKQ,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
83WKQ,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
3J4Z7,claude-4-sonnet,0.0,0.0,3,0.0
3J4Z7,gemini-2.5-flash,0.0,0.0,3,0.0
3J4Z7,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
3J4Z7,human,0.9772812759487137,0.04413003445714543,9,0.014710011485715144
3J4Z7,o3,0.6557658491998716,0.568145227323852,3,0.32801879993422706
3J4Z7,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
QDHS3,claude-4-sonnet,0.0,0.0,3,0.0
QDHS3,gemini-2.5-flash,0.0,0.0,3,0.0
QDHS3,gemini-2.5-pro,0.0,0.0,3,0.0
QDHS3,human,1.0,0.0,9,0.0
QDHS3,o3,0.0,0.0,3,0.0
QDHS3,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
VA6FQ,claude-4-sonnet,0.0,0.0,3,0.0
VA6FQ,gemini-2.5-flash,0.0,0.0,3,0.0
VA6FQ,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
VA6FQ,human,0.7777777777777778,0.44095855184409843,9,0.1469861839480328
VA6FQ,o3,0.0,0.0,3,0.0
VA6FQ,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
7VKTD,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
7VKTD,gemini-2.5-flash,0.0,0.0,3,0.0
7VKTD,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
7VKTD,human,1.0,0.0,9,0.0
7VKTD,o3,0.5014176762943389,0.5000060293818731,3,0.28867861566006037
7VKTD,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
set,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
set,gemini-2.5-flash,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
set,gemini-2.5-pro,0.0,0.0,3,0.0
set,human,1.0,0.0,9,0.0
set,o3,0.11822240805227417,0.20476721733967881,3,0.11822240805227417
set,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
XHGKQ,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
XHGKQ,gemini-2.5-flash,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
XHGKQ,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
XHGKQ,human,1.0,0.0,9,0.0
XHGKQ,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
XHGKQ,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
F5W3N,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
F5W3N,gemini-2.5-flash,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
F5W3N,gemini-2.5-pro,0.0,0.0,3,0.0
F5W3N,human,0.9286043104086692,0.14497840012588228,9,0.048326133375294095
F5W3N,o3,0.0,0.0,3,0.0
F5W3N,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
JXQAW,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
JXQAW,gemini-2.5-flash,0.5423563175947946,0.5053535128210482,3,0.29176598666315523
JXQAW,gemini-2.5-pro,0.0,0.0,3,0.0
JXQAW,human,1.0,0.0,9,0.0
JXQAW,o3,0.6557658491998716,0.568145227323852,3,0.32801879993422706
JXQAW,qwen3-235b-a22b-thinking-2507,0.32243251586653826,0.5584694994931025,3,0.3224325158665383
4N7BB,claude-4-sonnet,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
4N7BB,gemini-2.5-flash,0.6484133247895483,0.5622095204861475,3,0.32459181799364767
4N7BB,gemini-2.5-pro,0.6666666666666666,0.5773502691896258,3,0.33333333333333337
4N7BB,human,0.9726517754407915,0.04147513831343772,9,0.01382504610447924
4N7BB,o3,0.9204183400127818,0.13783947844853295,3,0.07958165998721813
4N7BB,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
NTQ4Y,claude-4-sonnet,0.0,0.0,3,0.0
NTQ4Y,gemini-2.5-flash,0.0,0.0,3,0.0
NTQ4Y,gemini-2.5-pro,0.0,0.0,3,0.0
NTQ4Y,human,0.7706416310635511,0.4374182122370693,9,0.14580607074568977
NTQ4Y,o3,0.0,0.0,3,0.0
NTQ4Y,qwen3-235b-a22b-thinking-2507,0.0,0.0,3,0.0
DGG2C,claude-4-sonnet,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
DGG2C,gemini-2.5-flash,0.32955907666758755,0.5708130648837485,3,0.32955907666758755
DGG2C,gemini-2.5-pro,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
DGG2C,human,0.9842898605538242,0.03232606173210896,9,0.010775353910702987
DGG2C,o3,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
DGG2C,qwen3-235b-a22b-thinking-2507,0.3333333333333333,0.5773502691896258,3,0.33333333333333337
