environment,source,avg_actions
3J4Z7,o3,2.6
3J4Z7,qwen3-235b-a22b-thinking-2507,6.0
QDHS3,human,108.0
VA6FQ,gemini-2.5-flash,3.395604395604396
VA6FQ,gemini-2.5-pro,2.5
VA6FQ,human,30.946470588235297
VA6FQ,o3,1.5714285714285714
VA6FQ,qwen3-235b-a22b-thinking-2507,8.083333333333332
7VKTD,gemini-2.5-flash,2.0
7VKTD,gemini-2.5-pro,9.0
7VKTD,human,32.666666666666664
set,gemini-2.5-flash,4.5
set,human,51.55333333333333
XHGKQ,human,19.0
XHGKQ,o3,3.6
F5W3N,gemini-2.5-pro,15.0
F5W3N,human,36.0
JXQAW,claude-4-sonnet,12.5
JXQAW,gemini-2.5-pro,8.153846153846153
JXQAW,human,15.3125
JXQAW,o3,3.6098901098901104
JXQAW,qwen3-235b-a22b-thinking-2507,6.5
4N7BB,gemini-2.5-flash,2.3333333333333335
4N7BB,human,22.5
NTQ4Y,gemini-2.5-pro,3.0
NTQ4Y,human,19.058333333333334
NTQ4Y,o3,3.0
DGG2C,gemini-2.5-flash,3.8125
DGG2C,human,34.625
