environment,source,mean_resets
N59TE,qwen3-235b-a22b-thinking-2507,0.0
76Z75,claude-4-sonnet,3.0
76Z75,gemini-2.5-flash,3.0
76Z75,gemini-2.5-pro,14.0
76Z75,human,1.5555555555555556
76Z75,o3,10.0
76Z75,qwen3-235b-a22b-thinking-2507,0.75
NF5VZ,claude-4-sonnet,0.3333333333333333
NF5VZ,gemini-2.5-flash,3.3333333333333335
NF5VZ,gemini-2.5-pro,0.3333333333333333
NF5VZ,human,1.0
NF5VZ,o3,1.0
NF5VZ,qwen3-235b-a22b-thinking-2507,1.0
236VK,claude-4-sonnet,0.0
236VK,gemini-2.5-flash,0.3333333333333333
236VK,gemini-2.5-pro,0.0
236VK,human,4.0
236VK,o3,0.6666666666666666
236VK,qwen3-235b-a22b-thinking-2507,0.0
DQ8GC,claude-4-sonnet,0.0
DQ8GC,gemini-2.5-flash,0.6666666666666666
DQ8GC,gemini-2.5-pro,0.0
DQ8GC,human,1.6666666666666667
DQ8GC,o3,0.6666666666666666
DQ8GC,qwen3-235b-a22b-thinking-2507,1.0
QM9XB,claude-4-sonnet,0.0
QM9XB,gemini-2.5-flash,0.3333333333333333
QM9XB,gemini-2.5-pro,3.0
QM9XB,human,2.3333333333333335
QM9XB,o3,0.3333333333333333
QM9XB,qwen3-235b-a22b-thinking-2507,0.6666666666666666
6JVMF,claude-4-sonnet,0.0
6JVMF,gemini-2.5-flash,3.3333333333333335
6JVMF,gemini-2.5-pro,1.6666666666666667
6JVMF,human,2.888888888888889
6JVMF,o3,1.0
6JVMF,qwen3-235b-a22b-thinking-2507,0.3333333333333333
27JBD,claude-4-sonnet,0.6666666666666666
27JBD,gemini-2.5-flash,0.6666666666666666
27JBD,gemini-2.5-pro,1.6666666666666667
27JBD,human,3.2222222222222223
27JBD,o3,0.0
27JBD,qwen3-235b-a22b-thinking-2507,0.3333333333333333
VQJH6,claude-4-sonnet,0.0
VQJH6,gemini-2.5-flash,1.0
VQJH6,gemini-2.5-pro,6.333333333333333
VQJH6,human,1.2222222222222223
VQJH6,o3,2.0
VQJH6,qwen3-235b-a22b-thinking-2507,0.6666666666666666
QQM74,claude-4-sonnet,0.0
QQM74,gemini-2.5-flash,5.0
QQM74,gemini-2.5-pro,0.3333333333333333
QQM74,human,3.6666666666666665
QQM74,o3,1.3333333333333333
QQM74,qwen3-235b-a22b-thinking-2507,0.0
7XF97,claude-4-sonnet,2.0
7XF97,gemini-2.5-flash,6.0
7XF97,gemini-2.5-pro,6.666666666666667
7XF97,human,1.8888888888888888
7XF97,o3,1.3333333333333333
7XF97,qwen3-235b-a22b-thinking-2507,0.6666666666666666
BT3GB,claude-4-sonnet,0.0
BT3GB,gemini-2.5-flash,0.0
BT3GB,gemini-2.5-pro,0.3333333333333333
BT3GB,human,1.2222222222222223
BT3GB,o3,0.6666666666666666
BT3GB,qwen3-235b-a22b-thinking-2507,0.3333333333333333
BT2KZ,claude-4-sonnet,0.0
BT2KZ,gemini-2.5-flash,6.666666666666667
BT2KZ,gemini-2.5-pro,1.3333333333333333
BT2KZ,human,2.7777777777777777
BT2KZ,o3,0.6666666666666666
BT2KZ,qwen3-235b-a22b-thinking-2507,1.0
B8AKZ,claude-4-sonnet,0.0
B8AKZ,gemini-2.5-flash,1.3333333333333333
B8AKZ,gemini-2.5-pro,1.6666666666666667
B8AKZ,human,1.7777777777777777
B8AKZ,o3,0.3333333333333333
B8AKZ,qwen3-235b-a22b-thinking-2507,0.6666666666666666
9F8AJ,claude-4-sonnet,0.0
9F8AJ,gemini-2.5-flash,2.3333333333333335
9F8AJ,gemini-2.5-pro,18.0
9F8AJ,human,4.0
9F8AJ,o3,0.3333333333333333
9F8AJ,qwen3-235b-a22b-thinking-2507,1.6666666666666667
4CKC2,claude-4-sonnet,0.0
4CKC2,gemini-2.5-flash,0.6666666666666666
4CKC2,gemini-2.5-pro,6.0
4CKC2,human,3.2222222222222223
4CKC2,o3,0.6666666666666666
4CKC2,qwen3-235b-a22b-thinking-2507,0.6666666666666666
7WWW9,claude-4-sonnet,0.0
7WWW9,gemini-2.5-flash,2.6666666666666665
7WWW9,gemini-2.5-pro,0.6666666666666666
7WWW9,human,1.1111111111111112
7WWW9,o3,1.0
7WWW9,qwen3-235b-a22b-thinking-2507,0.0
N2NTD,claude-4-sonnet,0.0
N2NTD,gemini-2.5-flash,1.3333333333333333
N2NTD,gemini-2.5-pro,0.0
N2NTD,human,1.6666666666666667
N2NTD,o3,0.3333333333333333
N2NTD,qwen3-235b-a22b-thinking-2507,2.0
BY2Q7,claude-4-sonnet,0.0
BY2Q7,gemini-2.5-flash,3.0
BY2Q7,gemini-2.5-pro,22.666666666666668
BY2Q7,human,1.5555555555555556
BY2Q7,o3,0.6666666666666666
BY2Q7,qwen3-235b-a22b-thinking-2507,2.3333333333333335
4T8TR,claude-4-sonnet,0.6666666666666666
4T8TR,gemini-2.5-flash,1.6666666666666667
4T8TR,gemini-2.5-pro,2.0
4T8TR,human,3.888888888888889
4T8TR,o3,2.0
4T8TR,qwen3-235b-a22b-thinking-2507,1.0
YS322,claude-4-sonnet,0.0
YS322,gemini-2.5-flash,2.3333333333333335
YS322,gemini-2.5-pro,11.0
YS322,human,2.2222222222222223
YS322,o3,0.0
YS322,qwen3-235b-a22b-thinking-2507,1.0
WHGHP,claude-4-sonnet,0.0
WHGHP,gemini-2.5-flash,1.6666666666666667
WHGHP,gemini-2.5-pro,2.3333333333333335
WHGHP,human,1.8888888888888888
WHGHP,o3,5.666666666666667
WHGHP,qwen3-235b-a22b-thinking-2507,0.6666666666666666
EAHCW,claude-4-sonnet,0.0
EAHCW,gemini-2.5-flash,1.0
EAHCW,gemini-2.5-pro,3.3333333333333335
EAHCW,human,2.111111111111111
EAHCW,o3,0.3333333333333333
EAHCW,qwen3-235b-a22b-thinking-2507,1.3333333333333333
83WKQ,claude-4-sonnet,0.0
83WKQ,gemini-2.5-flash,8.0
83WKQ,gemini-2.5-pro,2.3333333333333335
83WKQ,human,3.111111111111111
83WKQ,o3,4.0
83WKQ,qwen3-235b-a22b-thinking-2507,0.3333333333333333
3J4Z7,claude-4-sonnet,0.3333333333333333
3J4Z7,gemini-2.5-flash,2.0
3J4Z7,gemini-2.5-pro,1.3333333333333333
3J4Z7,human,2.0
3J4Z7,o3,3.6666666666666665
3J4Z7,qwen3-235b-a22b-thinking-2507,1.0
QDHS3,claude-4-sonnet,0.3333333333333333
QDHS3,gemini-2.5-flash,0.3333333333333333
QDHS3,gemini-2.5-pro,0.3333333333333333
QDHS3,human,1.1111111111111112
QDHS3,o3,0.3333333333333333
QDHS3,qwen3-235b-a22b-thinking-2507,0.6666666666666666
VA6FQ,claude-4-sonnet,0.0
VA6FQ,gemini-2.5-flash,7.666666666666667
VA6FQ,gemini-2.5-pro,1.3333333333333333
VA6FQ,human,4.777777777777778
VA6FQ,o3,3.0
VA6FQ,qwen3-235b-a22b-thinking-2507,4.0
7VKTD,claude-4-sonnet,0.0
7VKTD,gemini-2.5-flash,0.6666666666666666
7VKTD,gemini-2.5-pro,1.0
7VKTD,human,1.4444444444444444
7VKTD,o3,0.0
7VKTD,qwen3-235b-a22b-thinking-2507,0.0
set,claude-4-sonnet,0.0
set,gemini-2.5-flash,1.3333333333333333
set,gemini-2.5-pro,0.0
set,human,3.7777777777777777
set,o3,0.3333333333333333
set,qwen3-235b-a22b-thinking-2507,0.6666666666666666
XHGKQ,claude-4-sonnet,0.0
XHGKQ,gemini-2.5-flash,0.6666666666666666
XHGKQ,gemini-2.5-pro,0.3333333333333333
XHGKQ,human,1.1111111111111112
XHGKQ,o3,2.3333333333333335
XHGKQ,qwen3-235b-a22b-thinking-2507,0.0
F5W3N,claude-4-sonnet,0.0
F5W3N,gemini-2.5-flash,0.0
F5W3N,gemini-2.5-pro,1.0
F5W3N,human,1.7777777777777777
F5W3N,o3,0.3333333333333333
F5W3N,qwen3-235b-a22b-thinking-2507,0.0
JXQAW,claude-4-sonnet,1.3333333333333333
JXQAW,gemini-2.5-flash,0.0
JXQAW,gemini-2.5-pro,4.666666666666667
JXQAW,human,5.333333333333333
JXQAW,o3,7.666666666666667
JXQAW,qwen3-235b-a22b-thinking-2507,2.6666666666666665
4N7BB,claude-4-sonnet,0.0
4N7BB,gemini-2.5-flash,1.6666666666666667
4N7BB,gemini-2.5-pro,0.6666666666666666
4N7BB,human,1.4444444444444444
4N7BB,o3,0.6666666666666666
4N7BB,qwen3-235b-a22b-thinking-2507,0.3333333333333333
NTQ4Y,claude-4-sonnet,0.6666666666666666
NTQ4Y,gemini-2.5-flash,0.0
NTQ4Y,gemini-2.5-pro,1.0
NTQ4Y,human,2.7777777777777777
NTQ4Y,o3,1.0
NTQ4Y,qwen3-235b-a22b-thinking-2507,0.6666666666666666
DGG2C,claude-4-sonnet,0.0
DGG2C,gemini-2.5-flash,8.333333333333334
DGG2C,gemini-2.5-pro,0.0
DGG2C,human,1.6666666666666667
DGG2C,o3,0.6666666666666666
DGG2C,qwen3-235b-a22b-thinking-2507,0.0
